Наименование поставщика,Тип поставщика,ИНН,Рейтинг,Дата начала работы с поставщиком
БрянскСтройресурс,ЗАО,9432455179,8,12/20/2015
Стройкомплект,ЗАО,7803888520,7,9/13/2017
Железногорская руда,ООО,8430391035,7,12/23/2016
Белая гора,ООО,4318170454,8,5/27/2019
Тульский обрабатывающий завод ,ООО,7687851800,7,6/16/2015
ГорТехРазработка,ПАО,6119144874,9,12/27/2021
Сапфир,ОАО,1122170258,3,4/10/2022
ХимБытСервис,ПАО,8355114917,5,3/13/2022
ВоронежРудоКомбинат,ОАО,3532367439,8,11/11/2023
Смоленский добывающий комбинат,ОАО,2362431140,3,11/23/2018
МосКарьер,ПАО,4159215346,2,7/7/2012
КурскРесурс,ЗАО,9032455179,4,7/23/2021
Нижегородская разработка,ОАО,3776671267,9,5/23/2016
Речная долина,ОАО,7447864518,8,6/25/2015
Карелия добыча,ПАО,9037040523,6,3/9/2017
Московский ХимЗавод,ПАО,6221520857,4,5/7/2015
Горная компания,ЗАО,2262431140,3,12/22/2020
Минерал Ресурс,ООО,4155215346,7,5/22/2015
Арсенал,ЗАО,3961234561,5,11/25/2010
КамчаткаСтройМинералы,ЗАО,9600275878,7,12/20/2016
